"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Pradère P.; Le Pavec J.; Bos S.; Pozza A.; Nair A.; Meachery G.; Lordan J.; Humbert M.; Mercier O.; Fadel E.; Savale L.; Fisher A.J.","Pradère, Pauline (56433176900); Le Pavec, Jérome (23668178800); Bos, Saskia (57210574074); Pozza, Andre (58860726700); Nair, Arun (57193319768); Meachery, Gerard (11239193200); Lordan, James (6603077452); Humbert, Marc (55382766900); Mercier, Olaf (23971364900); Fadel, Elie (7004922328); Savale, Laurent (35410452900); Fisher, Andrew J. (55898040900)","56433176900; 23668178800; 57210574074; 58860726700; 57193319768; 11239193200; 6603077452; 55382766900; 23971364900; 7004922328; 35410452900; 55898040900","Outcomes of listing for lung and heart–lung transplantation in pulmonary hypertension: comparative experience in France and the UK","2024","ERJ Open Research","10","1","00521-2023","","","","2","10.1183/23120541.00521-2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183912818&doi=10.1183%2f23120541.00521-2023&partnerID=40&md5=88b0e1ae222a85eef3a75d6dab121fe0","Article","Final","","Scopus","2-s2.0-85183912818"
"Jackson D.J.; Heaney L.G.; Humbert M.; Kent B.D.; Shavit A.; Hiljemark L.; Olinger L.; Cohen D.; Menzies-Gow A.; Korn S.; Kroegel C.; Caruso C.; Baglivo I.; Colantuono S.; Jackson D.; Skowasch D.; Di Marco F.; Couturaud F.; Käßner F.; Cwiek I.; Teber M.; Knetsch K.; Preuß J.; Devouassoux G.; Milger-Kneidinger K.; Jerrentrup L.; Jandl M.; Timmermann H.; Probst B.; D'Amato M.; Hoffmann M.; Bonniaud P.; Beltramo G.; Girodet P.-O.; Berger P.; Nasser S.; Fry S.; Aries S.P.; Koehler T.; Harrison T.","Jackson, David J (56770495200); Heaney, Liam G (8921275400); Humbert, Marc (55382766900); Kent, Brian D (36009795500); Shavit, Anat (57208750200); Hiljemark, Lina (58763255400); Olinger, Lynda (58762851500); Cohen, David (58370836100); Menzies-Gow, Andrew (6602405794); Korn, Stephanie (24331946000); Kroegel, Claus (55164271400); Caruso, Cristiano (57221281826); Baglivo, Ilaria (58957594700); Colantuono, Stefania (36008271900); Jackson, David (57680739600); Skowasch, Dirk (6603928258); Di Marco, Fabiano (6701660646); Couturaud, Francis (6701926065); Käßner, Frank (8316213400); Cwiek, Iwona (58763255500); Teber, Markus (58762851600); Knetsch, Kornelia (58763255600); Preuß, Jasmin (58763061800); Devouassoux, Gilles (56017314900); Milger-Kneidinger, Katrin (59157837300); Jerrentrup, Lukas (25930428600); Jandl, Margret (57194214109); Timmermann, Hartmut (57211859930); Probst, Beatrice (6701682375); D'Amato, Maria (7004499795); Hoffmann, Martin (58333473700); Bonniaud, Philippe (6601993059); Beltramo, Guillaume (56313661600); Girodet, Pierre-Olivier (6506873933); Berger, Patrick (7402866064); Nasser, Shuaib (8524299000); Fry, Stéphanie (55557711300); Aries, Sven Philip (6603288485); Koehler, Thomas (59091857000); Harrison, Timothy (58573700500)","56770495200; 8921275400; 55382766900; 36009795500; 57208750200; 58763255400; 58762851500; 58370836100; 6602405794; 24331946000; 55164271400; 57221281826; 58957594700; 36008271900; 57680739600; 6603928258; 6701660646; 6701926065; 8316213400; 58763255500; 58762851600; 58763255600; 58763061800; 56017314900; 59157837300; 25930428600; 57194214109; 57211859930; 6701682375; 7004499795; 58333473700; 6601993059; 56313661600; 6506873933; 7402866064; 8524299000; 55557711300; 6603288485; 59091857000; 58573700500","Reduction of daily maintenance inhaled corticosteroids in patients with severe eosinophilic asthma treated with benralizumab (SHAMAL): a randomised, multicentre, open-label, phase 4 study","2024","The Lancet","403","10423","","271","281","10","70","10.1016/S0140-6736(23)02284-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179487572&doi=10.1016%2fS0140-6736%2823%2902284-5&partnerID=40&md5=c58c3dfaef88308fbd5244ade41d2f59","Article","Final","","Scopus","2-s2.0-85179487572"
"Boucly A.; Bertoletti L.; Fauvel C.; Dewavrin M.G.; Gerges C.; Grynblat J.; Guignabert C.; Hascoet S.; Jaïs X.; Jutant E.-M.; Lamblin N.; Meyrignac O.; Riou M.; Savale L.; Tromeur C.; Turquier S.; Valentin S.; Simonneau G.; Humbert M.; Sitbon O.; Montani D.","Boucly, Athénaïs (57041133700); Bertoletti, Laurent (57197026081); Fauvel, Charles (57199499426); Dewavrin, Mélanie Gallant (59204188900); Gerges, Christian (40461266000); Grynblat, Julien (58035792400); Guignabert, Christophe (23396499300); Hascoet, Sébastien (36128481600); Jaïs, Xavier (8512908600); Jutant, Etienne-Marie (56287394400); Lamblin, Nicolas (6602759623); Meyrignac, Olivier (14325519700); Riou, Marianne (57191867185); Savale, Laurent (35410452900); Tromeur, Cécile (53364560200); Turquier, Ségolène (56471935100); Valentin, Simon (57203145677); Simonneau, Gérald (57203200946); Humbert, Marc (55382766900); Sitbon, Olivier (55785611900); Montani, David (23392928800)","57041133700; 57197026081; 57199499426; 59204188900; 40461266000; 58035792400; 23396499300; 36128481600; 8512908600; 56287394400; 6602759623; 14325519700; 57191867185; 35410452900; 53364560200; 56471935100; 57203145677; 57203200946; 55382766900; 55785611900; 23392928800","Evidence and unresolved questions in pulmonary hypertension: Insights from the 5th French Pulmonary Hypertension Network Meeting","2024","Respiratory Medicine and Research","86","","101123","","","","3","10.1016/j.resmer.2024.101123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197515745&doi=10.1016%2fj.resmer.2024.101123&partnerID=40&md5=e4e6ba787c795f37c7fd650fbcc81b52","Short survey","Final","","Scopus","2-s2.0-85197515745"
"Yegen C.-H.; Lambert M.; Beurnier A.; Montani D.; Humbert M.; Planès C.; Boncoeur E.; Voituron N.; Antigny F.","Yegen, Céline-Hivda (57215494987); Lambert, Mélanie (57196374463); Beurnier, Antoine (57207315902); Montani, David (23392928800); Humbert, Marc (55382766900); Planès, Carole (6603600829); Boncoeur, Emilie (9745968500); Voituron, Nicolas (8326171200); Antigny, Fabrice (14035186900)","57215494987; 57196374463; 57207315902; 23392928800; 55382766900; 6603600829; 9745968500; 8326171200; 14035186900","KCNK3 channel is important for the ventilatory response to hypoxia in rats","2023","Respiratory Physiology and Neurobiology","318","","104164","","","","1","10.1016/j.resp.2023.104164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173431735&doi=10.1016%2fj.resp.2023.104164&partnerID=40&md5=8aa367e8c8043091435295e1b5b33b05","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173431735"
"Valdeolmillos E.; Foray C.; Albenque G.; Batteux C.; Petit J.; Lecerf F.; Jaïs X.; Sitbon O.; Montani D.; Savale L.; Humbert M.; Hascoët S.","Valdeolmillos, Estibaliz (57204652011); Foray, Claire (59156546500); Albenque, Gregoire (57222260322); Batteux, Clément (57208304166); Petit, Jerome (57149920700); Lecerf, Florence (6701552725); Jaïs, Xavier (8512908600); Sitbon, Olivier (55785611900); Montani, David (23392928800); Savale, Laurent (35410452900); Humbert, Marc (55382766900); Hascoët, Sébastien (36128481600)","57204652011; 59156546500; 57222260322; 57208304166; 57149920700; 6701552725; 8512908600; 55785611900; 23392928800; 35410452900; 55382766900; 36128481600","Percutaneous atrial septal defect closure in patients with pulmonary arterial hypertension","2024","European Respiratory Journal","63","5","2301649","","","","0","10.1183/13993003.01649-2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195190873&doi=10.1183%2f13993003.01649-2023&partnerID=40&md5=46990733543380b2676b74fe6fa04e2a","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85195190873"
"Welch C.L.; Aldred M.A.; Balachandar S.; Dooijes D.; Eichstaedt C.A.; Gräf S.; Houweling A.C.; Machado R.D.; Pandya D.; Prapa M.; Shaukat M.; Southgate L.; Tenorio-Castano J.; Callejo E.P.; Day K.M.; Macaya D.; Maldonado-Velez G.; Chung W.K.; Archer S.L.; Auckland K.; Austin E.D.; Badagliacca R.; Barberà J.-A.; Belge C.; Bogaard H.J.; Bonnet S.; Boomars K.A.; Boucherat O.; Chakinala M.M.; Condliffe R.; Damico R.L.; Delcroix M.; Desai A.A.; Doboszynska A.; Elliott C.G.; Eyries M.; Escribano Subías M.P.; Gall H.; Ghio S.; Ghofrani A.-H.; Grünig E.; Hamid R.; Harbaum L.; Hassoun P.M.; Hemnes A.R.; Hinderhofer K.; Howard L.S.; Humbert M.; Kiely D.G.; Langleben D.; Lawrie A.; Loyd J.E.; Moledina S.; Montani D.; Morrell N.W.; Nichols W.C.; Olschewski A.; Olschewski H.; Papa S.; Pauciulo M.W.; Provencher S.; Quarck R.; Rhodes C.J.; Scelsi L.; Seeger W.; Stewart D.J.; Sweatt A.; Swietlik E.M.; Treacy C.; Trembath R.C.; Tura-Ceide O.; Vizza C.D.; Noordegraaf A.V.; Wilkins M.R.; Zamanian R.T.; Zateyshchikov D.","Welch, Carrie L. (7202751279); Aldred, Micheala A. (7005698907); Balachandar, Srimmitha (58601476200); Dooijes, Dennis (57201346131); Eichstaedt, Christina A. (56151065000); Gräf, Stefan (7004619635); Houweling, Arjan C. (36776541900); Machado, Rajiv D. (7101977955); Pandya, Divya (57219830904); Prapa, Matina (37038214400); Shaukat, Memoona (57328244600); Southgate, Laura (15047508200); Tenorio-Castano, Jair (56927936800); Callejo, Emily P. (57942284200); Day, Kristina M. (57942922900); Macaya, Daniela (23397774100); Maldonado-Velez, Gabriel (57219512885); Chung, Wendy K. (57211703344); Archer, Stephen L. (7202456813); Auckland, Kathryn (57195678224); Austin, Eric D. (16023751600); Badagliacca, Roberto (7801601632); Barberà, Joan-Albert (7102961833); Belge, Catharina (8665234100); Bogaard, Harm Jan (6603430249); Bonnet, Sébastien (57562802700); Boomars, Karin A. (16938442300); Boucherat, Olivier (8418138900); Chakinala, Murali M. (6603496416); Condliffe, Robin (24328531500); Damico, Rachel Lynn (6603250792); Delcroix, Marion (56998935300); Desai, Ankit A. (18233692700); Doboszynska, Anna (7004233063); Elliott, C. Greg (7202077873); Eyries, Melanie (6506578891); Escribano Subías, Maria Pilar (56586018200); Gall, Henning (8957617100); Ghio, Stefano (57221763239); Ghofrani, Ardeschir-Hossein (35547709200); Grünig, Ekkehard (6603702994); Hamid, Rizwan (35263989200); Harbaum, Lars (35085128500); Hassoun, Paul M. (7003614870); Hemnes, Anna R. (10144409200); Hinderhofer, Katrin (6507583558); Howard, Luke S. (8056207000); Humbert, Marc (55382766900); Kiely, David G. (34771006600); Langleben, David (7005316501); Lawrie, Allan (15077484000); Loyd, Jim E. (7006730254); Moledina, Shahin (23985897400); Montani, David (23392928800); Morrell, Nichols W. (7006109041); Nichols, William C. (57203074643); Olschewski, Andrea (55940168400); Olschewski, Horst (55256835200); Papa, Silvia (44061627100); Pauciulo, Mike W. (6505828966); Provencher, Steve (8513665400); Quarck, Rozenn (6602188811); Rhodes, Christopher J. (55725915000); Scelsi, Laura (6603584546); Seeger, Werner (55143401900); Stewart, Duncan J. (55613413700); Sweatt, Andrew (56403038500); Swietlik, Emilia M. (23971608800); Treacy, Carmen (24170182100); Trembath, Richard C. (7005504048); Tura-Ceide, Olga (19338064800); Vizza, Carmine Dario (7003962691); Noordegraaf, Anton Vonk (57208105519); Wilkins, Martin R. (7102324937); Zamanian, Roham T. (57210097645); Zateyshchikov, Dmitry (59662814100)","7202751279; 7005698907; 58601476200; 57201346131; 56151065000; 7004619635; 36776541900; 7101977955; 57219830904; 37038214400; 57328244600; 15047508200; 56927936800; 57942284200; 57942922900; 23397774100; 57219512885; 57211703344; 7202456813; 57195678224; 16023751600; 7801601632; 7102961833; 8665234100; 6603430249; 57562802700; 16938442300; 8418138900; 6603496416; 24328531500; 6603250792; 56998935300; 18233692700; 7004233063; 7202077873; 6506578891; 56586018200; 8957617100; 57221763239; 35547709200; 6603702994; 35263989200; 35085128500; 7003614870; 10144409200; 6507583558; 8056207000; 55382766900; 34771006600; 7005316501; 15077484000; 7006730254; 23985897400; 23392928800; 7006109041; 57203074643; 55940168400; 55256835200; 44061627100; 6505828966; 8513665400; 6602188811; 55725915000; 6603584546; 55143401900; 55613413700; 56403038500; 23971608800; 24170182100; 7005504048; 19338064800; 7003962691; 57208105519; 7102324937; 57210097645; 59662814100","Defining the clinical validity of genes reported to cause pulmonary arterial hypertension","2023","Genetics in Medicine","25","11","100925","","","","34","10.1016/j.gim.2023.100925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169798442&doi=10.1016%2fj.gim.2023.100925&partnerID=40&md5=7a43688754763541141d7361ddc01a22","Article","Final","","Scopus","2-s2.0-85169798442"
"Boucly A.; Montani D.; Bauer F.; Artaud-Macari E.; Bergot E.; Boissin C.; Chaouat A.; Cottin V.; Dauphin C.; Degano B.; De Groote P.; du Roure C.; Favrolt N.; Horeau-Langlard D.; Jaïs X.; Jevnikar M.; Lacoste-Palasset T.; Picard F.; Prévôt G.; Reynaud-Gaubert M.; Roche A.; Turquier S.; Humbert M.; Sitbon O.; Savale L.","Boucly, Athénaïs (57041133700); Montani, David (23392928800); Bauer, Fabrice (55977581400); Artaud-Macari, Elise (45260925700); Bergot, Emmanuel (57205356040); Boissin, Clément (56819115000); Chaouat, Ari (7006839874); Cottin, Vincent (7004305225); Dauphin, Claire (56240258200); Degano, Bruno (6603321564); De Groote, Pascal (7006255630); du Roure, Camille (23011559500); Favrolt, Nicolas (21233529800); Horeau-Langlard, Delphine (36008408100); Jaïs, Xavier (8512908600); Jevnikar, Mitja (55521710100); Lacoste-Palasset, Thomas (57372222700); Picard, François (23566872800); Prévôt, Grégoire (24802539800); Reynaud-Gaubert, Martine (7003334892); Roche, Anne (57290626800); Turquier, Ségolène (56471935100); Humbert, Marc (55382766900); Sitbon, Olivier (55785611900); Savale, Laurent (35410452900)","57041133700; 23392928800; 55977581400; 45260925700; 57205356040; 56819115000; 7006839874; 7004305225; 56240258200; 6603321564; 7006255630; 23011559500; 21233529800; 36008408100; 8512908600; 55521710100; 57372222700; 23566872800; 24802539800; 7003334892; 57290626800; 56471935100; 55382766900; 55785611900; 35410452900","Initial therapy in patients with pulmonary arterial hypertension and cardiovascular comorbidities","2025","European Respiratory Journal","65","5","2400895","","","","2","10.1183/13993003.00895-2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007450182&doi=10.1183%2f13993003.00895-2024&partnerID=40&md5=d7861cf053bdb834edaa33aa75ff8fce","Article","Final","","Scopus","2-s2.0-105007450182"
"Grynblat J.; Bogaard H.J.; Eyries M.; Meyrignac O.; Savale L.; Jaïs X.; Ghigna M.-R.; Celant L.; Meijboom L.; Houweling A.C.; Levy M.; Antigny F.; Chaouat A.; Cottin V.; Guignabert C.; Coulet F.; Sitbon O.; Bonnet D.; Humbert M.; Montani D.","Grynblat, Julien (58035792400); Bogaard, Harm Jan (6603430249); Eyries, Mélanie (6506578891); Meyrignac, Olivier (14325519700); Savale, Laurent (35410452900); Jaïs, Xavier (8512908600); Ghigna, Maria-Rosa (15020513900); Celant, Lucas (57240409200); Meijboom, Lilian (6506200073); Houweling, Arjan C. (36776541900); Levy, Marilyne (7404616305); Antigny, Fabrice (14035186900); Chaouat, Ari (7006839874); Cottin, Vincent (7004305225); Guignabert, Christophe (23396499300); Coulet, Florence (6603635528); Sitbon, Olivier (55785611900); Bonnet, Damien (55157529200); Humbert, Marc (55382766900); Montani, David (23392928800)","58035792400; 6603430249; 6506578891; 14325519700; 35410452900; 8512908600; 15020513900; 57240409200; 6506200073; 36776541900; 7404616305; 14035186900; 7006839874; 7004305225; 23396499300; 6603635528; 55785611900; 55157529200; 55382766900; 23392928800","Pulmonary vascular phenotype identified in patients with GDF2 (BMP9) or BMP10 variants: an international multicentre study","2024","European Respiratory Journal","63","4","2301634","","","","9","10.1183/13993003.01634-2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190176162&doi=10.1183%2f13993003.01634-2023&partnerID=40&md5=bc2bee1f00a68e4529c359b358be114b","Article","Final","","Scopus","2-s2.0-85190176162"
"Guignabert C.; Savale L.; Boucly A.; Thuillet R.; Tu L.; Ottaviani M.; Rhodes C.J.; De Groote P.; Prévot G.; Bergot E.; Bourdin A.; Howard L.S.; Fadel E.; Beurnier A.; Roche A.; Jevnikar M.; Jaïs X.; Montani D.; Wilkins M.R.; Sitbon O.; Humbert M.","Guignabert, Christophe (23396499300); Savale, Laurent (35410452900); Boucly, Athénaïs (57041133700); Thuillet, Raphaël (56019732200); Tu, Ly (23006846000); Ottaviani, Mina (57397989100); Rhodes, Christopher J. (55725915000); De Groote, Pascal (7006255630); Prévot, Grégoire (24802539800); Bergot, Emmanuel (57205356040); Bourdin, Arnaud (7801311848); Howard, Luke S. (8056207000); Fadel, Elie (7004922328); Beurnier, Antoine (57207315902); Roche, Anne (57290626800); Jevnikar, Mitja (55521710100); Jaïs, Xavier (8512908600); Montani, David (23392928800); Wilkins, Martin R. (7102324937); Sitbon, Olivier (55785611900); Humbert, Marc (55382766900)","23396499300; 35410452900; 57041133700; 56019732200; 23006846000; 57397989100; 55725915000; 7006255630; 24802539800; 57205356040; 7801311848; 8056207000; 7004922328; 57207315902; 57290626800; 55521710100; 8512908600; 23392928800; 7102324937; 55785611900; 55382766900","Serum and Pulmonary Expression Profiles of the Activin Signaling System in Pulmonary Arterial Hypertension","2023","Circulation","147","24","","1809","1822","13","35","10.1161/CIRCULATIONAHA.122.061501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161938060&doi=10.1161%2fCIRCULATIONAHA.122.061501&partnerID=40&md5=1d17bfc3e948f934946a0d535cf11b13","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85161938060"
"Montani D.; Eichstaedt C.A.; Belge C.; Chung W.K.; Gräf S.; Grünig E.; Humbert M.; Quarck R.; Tenorio-Castano J.A.; Soubrier F.; Trembath R.C.; Morrell N.W.","Montani, D. (23392928800); Eichstaedt, C.A. (56151065000); Belge, C. (8665234100); Chung, W.K. (57211703344); Gräf, S. (7004619635); Grünig, E. (6603702994); Humbert, M. (55382766900); Quarck, R. (6602188811); Tenorio-Castano, J.A. (56927936800); Soubrier, F. (56186559700); Trembath, R.C. (7005504048); Morrell, N.W. (7006109041)","23392928800; 56151065000; 8665234100; 57211703344; 7004619635; 6603702994; 55382766900; 6602188811; 56927936800; 56186559700; 7005504048; 7006109041","Genetic counselling and testing in pulmonary arterial hypertension – A consensus statement on behalf of the International Consortium for Genetic Studies in PAH – French version; [Conseil génétique et dépistage de l'hypertension artérielle pulmonaire – consensus du Consortium international pour les études génétiques dans l'HTAP – version française]","2023","Revue des Maladies Respiratoires","40","9-10","","838","852","14","0","10.1016/j.rmr.2023.10.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175322370&doi=10.1016%2fj.rmr.2023.10.004&partnerID=40&md5=1c1c41d017a4d0f9b3d608a8994f507c","Article","Final","","Scopus","2-s2.0-85175322370"
